Bill,State,Tags,Partisanship,Link,Status_as_of-5-14-2014
HB 1775,HI,"government surveillance, minimization, public disclosure, evidence admissibility, private remedy against government, no hunting with uav","[{""Democratic""=>5}]",,
SB 783,HI,"government surveillance, warrants, minimization, biometrics, data retention, evidence admissibility, administrative discipline, public disclosure","[{""Republican""=>1}, {""Democratic""=>2}]",,
HB 342,KY,"weapon ban, protecting certain private uav use, government surveillance, warrants, minimization, biometrics, evidence admissibility","[{""Republican""=>7}, {""Democratic""=>1}]",,
SB 356,LA,critical infrastructure ban,"[{""Republican""=>1}]",,
HB 785,MD,"government surveillance, warrants, evidence admissibility, agricultural surveillance ban, private invasion of privacy, private remedy against government","[{""Republican""=>8}, {""Democratic""=>3}]",,
HB 847,MD,"government surveillance, warrants, biometrics, minimization, data retention, weapon ban, public disclosure, administrative penalties","[{""Democratic""=>3}, {""Republican""=>1}]",,
SB 125,MD,promoting industry,"[{""The President (By Request - Administration)""=>1}]",,
SB 926,MD,"government surveillance, warrants, minimization, biometrics, data retention, weapon ban, administrative discipline, public disclosure","[{""Democratic""=>3}, {""Republican""=>1}]",,
HB 4455,MI,"pre-acquisition approval, government surveillance, warrants, weapon ban, minimization, data retention, biometrics, evidence admissibility, administrative discipline, public disclosure, criminal penalties","[{""Republican""=>13}, {""Democratic""=>4}]",,
HR 279,MI,requesting FAA choose state for test site,"[{""Republican""=>6}, {""Democratic""=>2}]",,
SR 107,MI,requesting FAA choose state for test site,"[{""Republican""=>9}, {""Democratic""=>1}]",,
HF 1620,MN,"criminal penalties, government surveillance, search warrant, limit federal agency uav use, private remedy against government, evidence admissibility","[{""Democratic-Farmer-Labor""=>21}, {""Republican""=>14}]",,
HF 1994,MN,"government surveillance, warrants, evidence admissibility, private remedy against government","[{""Republican""=>2}, {""Democratic-Farmer-Labor""=>3}]",,
HF 2552,MN,"government surveillance, warrants, pre-acquisition approval, minimization, biometrics, weapon ban, data retention, evidence admissibility, disclosure to targets, private remedy against government, public disclosure","[{""Democratic-Farmer-Labor""=>1}]",,
HF 2553,MN,"government surveillance, warrants, limit intragovernment sharing, pre-acquisition approval, evidence admissibility, biometrics, minimization, data retention, notice to targets, private remedy against government, public disclosure","[{""Democratic-Farmer-Labor""=>3}]",,
HF 612,MN,"government surveillance, private remedy against government, evidence admissibility","[{""Republican""=>3}]",,
HF 990,MN,"regulate non-NAS airspace, weapon ban, government surveillance, warrants, private invasion of privacy, public disclosure, evidence admissibility, criminal penalties","[{""Republican""=>1}]",,
HB 159,AK,"evidence admissibility, warrants, private invasion of privacy","[{""Democratic""=>2}]",,
SF 2037,MN,"government surveillance, warrants, evidence admissibility, private remedy against government","[{""Republican""=>2}, {""Democratic-Farmer-Labor""=>2}]",,
SF 2687,MN,"government surveillance, warrants, pre-acquisition approval, minimization, biometrics, data retention, evidence admissibility, notice to targets, private remedy against government, public disclosure","[{""Republican""=>1}]",,
SF 485,MN,"government surveillance, warrants, private remedy against government, evidence admissibility","[{""Republican""=>4}, {""Democratic-Farmer-Labor""=>1}]",,
HB 1204,MO,"government surveillance, warrants, private invasion of privacy, agricultural surveillance ban, protecting certain private uav use, private remedy against government, evidence admissibility","[{""Republican""=>1}]",,
HB 46,MO,"government surveillance, warrants, private invasion of privacy, agricultural surveillance ban, private remedy against government, evidence admissibility","[{""Republican""=>1}]",,
SB 150,MT,"government surveillance, evidence admissibility, weapon ban","[{""Democratic""=>1}]",,
HB 312,NC,"government surveillance, evidence admissibility, warrants, minimization, biometrics, criminal penalties, data retention, public disclosure","[{""Republican""=>23}, {""Democratic""=>9}, {""""=>2}]",,
HB 1373,ND,"government surveillance, warrants, evidence admissibility, data retention, study uavs, public disclosure, notice to targets, failed","[{""Republican""=>9}, {""Democratic""=>1}]",,
HB 1361,NH,"government surveillance, evidence admissibility, warrants, private remedy against government","[{""Republican""=>3}]",,
HB 1620,NH,"government surveillance, warrants, data retention, evidence admissibility, weapon ban, private remedy against government, private invasion of privacy, criminal penalties, extra penalty for hacking uav","[{""Republican""=>1}]",,
A 3157,NJ,"government surveillance, warrants, public disclosure, evidence admissibility, ban private ownership or posession","[{""""=>1}, {""Republican""=>1}]",,
A 3929,NJ,"government surveillance, evidence admissibility, private remedy against government","[{""Democratic""=>2}, {""Republican""=>2}]",,
A 4073,NJ,"government surveillance, evidence admissibility, data retention, public disclosure, weapon ban, ban 3d party disclosure","[{""Democratic""=>6}, {""Republican""=>2}]",,
A 4091,NJ,"government surveillance, private remedy against government, evidence admissibility, limit altitude of law enforcement uav","[{""Republican""=>1}]",,
A 4381,NJ,"government surveillance, warrants, minimization","[{""Republican""=>1}]",,
A 534,NJ,"government surveillance, private remedy against government, evidence admissibility, limit altitude of law enforcement uav","[{""Republican""=>1}]",,
S 2702,NJ,"government surveillance, warrants, data retention, ban 3d party disclosure, evidence admissibility, public reporting, weapon ban","[{""Democratic""=>8}, {""Republican""=>3}]",,
HJM 6,NM,requesting FAA choose state for test site,"[{""Gonzales, Roberto \""Bobby\"" J.""=>1}]",,
SB 556,NM,"government surveillance, agricultural surveillance ban, warrants, criminal penalties, private remedy against government, evidence admissibility","[{""Democratic""=>1}]",,
SCR 7,NV,requesting FAA choose state for test site,"[{""Democratic""=>3}, {""Republican""=>2}]",,
A 6244,NY,"government surveillance, warrants, evidence admissibility","[{""Democratic""=>25}, {""Republican""=>5}]",,
A 6370,NY,"government surveillance, warrants, special protection for place of worship, evidence admissibility, private remedy against government, criminal penalties","[{""Democratic""=>6}, {""Republican""=>1}]",,
A 6541,NY,"government surveillance, warrants, data retention, weapon ban, administrative discipline, public disclosure, evidence admissibility, pre-acquisition approval","[{""Democratic""=>7}]",,
A 8091,NY,private invasion of privacy,"[{""Republican""=>1}]",,
S 4839,NY,"government surveillance, warrants, pre-acquisition approval, public disclosure, administrative penalties, weapon ban, data retention","[{""Democratic""=>1}]",,
S 6412,NY,"government surveillance, warrants, evidence admissibility","[{""Democratic""=>1}]",,
HB 207,OH,"government surveillance, warrants, evidence admissibility, private remedy against government","[{""Republican""=>1}]",,
HB 364,OH,"uav licenses, public notice, limit intragovernment sharing, warrants, evidence admissibility, notice to targets, weapon ban, private remedy against government, administrative discipline, public disclosure","[{""Republican""=>1}]",,
HCR 44,OH,requesting FAA choose state for test site,"[{""Republican""=>1}]",,
SB 189,OH,"government surveillance, pre-acquisition approval, limit intragovernment sharing, warrants, data minimization, evidence admissibility, data minimization, biometrics, weapon ban, administrative penalties, public disclosure","[{""Republican""=>1}]",,
SCR 19,OH,requesting FAA choose state for test site,"[{""Republican""=>1}]",,
HB 1556,OK,"government surveillance, warrants, criminal penalties, private remedy against government, evidence admissibility, minimization, data retention, weapon ban, no mfr liability","[{""Republican""=>1}]",,
HB 1795,OK,"","[{""Republican""=>1}]",,
HB 3035,OK,"","[{""Republican""=>1}]",,
SB 2043,OK,"government surveillance, weapon ban, criminal penalties, private invasion of privacy, evidence admissibility","[{""Republican""=>1}]",,
HB 2710,OR,"government surveillance, warrants, uav licenses, evidence admissibility, public disclosure, weapon ban, criminal penalties, civil cause of action, private remedy against government, preempt local rules","[{""Republican""=>2}, {""Democrat""=>1}]",,
SB 524,OR,"government surveillance, warrants, minimization, data retention, weapon ban, pre-acquisition approval","[{""Democrat""=>1}, {""Republican""=>1}]",,
SB 853,OR,"government surveillance, warrants, evidence admissibility, data minimization, biometrics, disclosure to targets, uav licenses, oversight board, study uavs, died","[{""Republican""=>1}]",,
HB 2516,PA,government surveillance,"[{""Democratic""=>5}, {""Republican""=>1}]",,
SB 875,PA,"weapon ban, moratorium","[{""Republican""=>3}, {""Democratic""=>3}]",,
HB 5780,RI,"pre-acquisition approval, weapon ban, government surveillance, warrants, evidence admissibility, disclosure to targets, private remedy against government, data retention, public disclosure","[{""Democratic""=>5}]",,
HB 7170,RI,"pre-acquisition approval, government surveillance, warrants, data minimization, biometrics, disclosure to targets, evidence admissibility, private remedy against government, data retention, public disclosure","[{""Democratic""=>5}]",,
SB 2362,RI,"government surveillance, warrants, evidence admissibility, private remedy against government","[{""Republican""=>2}, {""Democratic""=>1}]",,
H 3415,SC,"government surveillance, warrants, evidence admissibility","[{""Republican""=>8}]",,
H 3514,SC,"government surveillance, warrants, private invasion of privacy, biometrics","[{""Republican""=>5}]",,
S 395,SC,"government surveillance, warrants","[{""Republican""=>5}]",,
HB 1669,TN,tax break,"[{""Republican""=>2}]",,
SB 1752,TN,tax break,"[{""Republican""=>2}]",,
SB 3047,TN,"government surveillance, warrants","[{""Republican""=>2}]",,
HR 866,TX,requesting FAA choose state for test site,"[{""Republican""=>1}]",,
SB 1704,TX,cooperating with feds,"[{""Democratic""=>1}]",,
SB 167,UT,"government surveillance, warrants, data retention, public disclosure","[{""Republican""=>1}]",,
HB 1616,VA,"government surveillance, minimization, disclosure to targets, protect university use, evidence admissibility, data retention, weapon ban, public disclosure, pre-acquisition approval, biometrics","[{""Republican""=>8}, {""Democratic""=>2}]",,
H 540,VT,"government surveillance, warrants, minimization, biometrics, evidence admissibility, weapon ban, public disclosure",[],,
S 169,VT,"government surveillance, warrants, biometrics, evidence admissibility, minimization, weapon ban, public disclosure",[],,
HB 1771,WA,"government surveillance, pre-acquisition approval, minimization, warrants, notice to targets, evidence admissibility, data retention, private remedy against government, public disclosure","[{""Republican""=>12}, {""Democratic""=>7}, {""""=>1}]",,
HB 2178,WA,"ban certain private use, government surveillance, criminal penalties, private invasion of privacy, private remedy against government","[{""Democratic""=>2}]",,
HB 2789,WA,"vetoed, government surveillance, pre-acquisition approval, public notice, public comment period, warrants, notice to target, study uavs, evidence admissibility, ban 3d party disclosure, data retention, private remedy against government, public disclosure","[{""Republican""=>7}, {""Democratic""=>5}]",,
SB 6172,WA,"government surveillance, pre-acquisition approval, warrants, notice to target, evidence admissibility, ban 3d party disclosure, data retention, private remedy against government, public reporting","[{""Democratic""=>7}, {""Republican""=>4}, {""""=>2}]",,
AB 203,WI,"government surveillance, warrants, weapon ban, criminal penalties, private invasion of privacy, evidence admissibility","[{""Republican""=>15}, {""Democratic""=>7}]",,
SB 196,WI,"adopted, government surveillance, weapon ban, private invasion of privacy","[{""Republican""=>3}, {""Democratic""=>4}]",,
HB 2732,WV,"government surveillance, weapon ban, warrants, private remedy against government, evidence admissibility","[{""Republican""=>10}, {""Democratic""=>1}]",,
HB 2948,WV,"government surveillance, evidence admissibility, private remedy against government","[{""Democratic""=>2}]",,
HB 2997,WV,"government surveillance, warrants, weapon ban, ban certain private use, no surveillance of political beliefs, evidence admissibility, data retention, disclosure to targets","[{""Republican""=>8}]",,
HB 105,WY,"government surveillance, warrants, fresh pursuit exception, evidence admissibility","[{""Republican""=>12}]",,
SCR 124,LA,study uavs,"[{""Democratic""=>1}]",,
